CMDLINE C:\Users\papkp\AppData\Local\Programs\Python\Python311\python.exe profilerscript.py
MEM 1.976562 1733139586.6253
MEM 12.843750 1733139586.7257
MEM 19.906250 1733139586.8260
MEM 58.597656 1733139586.9266
MEM 90.703125 1733139587.0272
MEM 123.667969 1733139587.1277
MEM 167.171875 1733139587.2282
MEM 33.167969 1733139587.3285
MEM 36.460938 1733139587.4289
MEM 42.957031 1733139587.5295
MEM 44.320312 1733139587.6301
MEM 50.339844 1733139587.7307
MEM 54.359375 1733139587.8315
MEM 55.640625 1733139587.9320
MEM 56.351562 1733139588.0325
MEM 56.351562 1733139588.1331
MEM 56.351562 1733139588.2337
MEM 56.351562 1733139588.3343
MEM 56.351562 1733139588.4348
MEM 56.351562 1733139588.5355
MEM 56.414062 1733139588.6360
MEM 56.414062 1733139588.7365
MEM 56.414062 1733139588.8369
MEM 56.414062 1733139588.9371
MEM 56.414062 1733139589.0377
MEM 56.414062 1733139589.1383
MEM 56.414062 1733139589.2390
MEM 56.414062 1733139589.3395
MEM 56.414062 1733139589.4402
MEM 56.414062 1733139589.5408
MEM 56.414062 1733139589.6415
MEM 56.414062 1733139589.7420
MEM 56.414062 1733139589.8422
MEM 56.414062 1733139589.9429
MEM 56.417969 1733139590.0433
MEM 56.417969 1733139590.1436
MEM 56.417969 1733139590.2441
MEM 56.417969 1733139590.3444
MEM 56.417969 1733139590.4450
MEM 56.417969 1733139590.5456
MEM 56.417969 1733139590.6458
MEM 56.417969 1733139590.7463
MEM 61.687500 1733139590.8469
MEM 75.875000 1733139590.9475
MEM 90.093750 1733139591.0481
MEM 97.460938 1733139591.1486
MEM 97.742188 1733139591.2497
MEM 97.742188 1733139591.3503
MEM 97.742188 1733139591.4510
MEM 97.742188 1733139591.5516
MEM 99.000000 1733139591.6523
MEM 99.000000 1733139591.7529
MEM 99.000000 1733139591.8535
MEM 99.000000 1733139591.9542
MEM 99.000000 1733139592.0548
MEM 100.250000 1733139592.1554
MEM 100.250000 1733139592.2557
MEM 100.250000 1733139592.3559
MEM 100.250000 1733139592.4566
MEM 100.250000 1733139592.5574
MEM 100.261719 1733139592.6576
MEM 100.636719 1733139592.7583
MEM 100.949219 1733139592.8589
MEM 100.949219 1733139592.9596
MEM 103.449219 1733139593.0603
MEM 103.449219 1733139593.1606
MEM 103.636719 1733139593.2609
MEM 104.292969 1733139593.3612
MEM 105.085938 1733139593.4616
MEM 105.800781 1733139593.5619
MEM 106.636719 1733139593.6625
MEM 107.406250 1733139593.7629
MEM 108.113281 1733139593.8636
MEM 108.832031 1733139593.9639
MEM 109.484375 1733139594.0644
MEM 110.300781 1733139594.1646
MEM 111.070312 1733139594.2651
MEM 111.949219 1733139594.3658
MEM 112.742188 1733139594.4660
MEM 113.433594 1733139594.5663
MEM 114.136719 1733139594.6670
MEM 114.812500 1733139594.7677
MEM 120.511719 1733139594.8681
MEM 121.324219 1733139594.9683
MEM 122.093750 1733139595.0685
MEM 122.699219 1733139595.1687
MEM 123.410156 1733139595.2694
MEM 124.136719 1733139595.3700
MEM 124.769531 1733139595.4703
MEM 125.574219 1733139595.5710
MEM 126.324219 1733139595.6715
MEM 126.824219 1733139595.7722
MEM 127.574219 1733139595.8729
MEM 128.214844 1733139595.9732
MEM 128.843750 1733139596.0734
MEM 129.359375 1733139596.1738
MEM 130.003906 1733139596.2745
MEM 130.550781 1733139596.3752
MEM 131.242188 1733139596.4758
MEM 131.949219 1733139596.5760
MEM 132.593750 1733139596.6762
MEM 133.234375 1733139596.7765
MEM 133.968750 1733139596.8768
MEM 134.664062 1733139596.9772
MEM 135.257812 1733139597.0774
MEM 135.761719 1733139597.1781
MEM 136.449219 1733139597.2784
MEM 137.074219 1733139597.3791
MEM 137.621094 1733139597.4793
MEM 138.226562 1733139597.5797
MEM 138.824219 1733139597.6803
MEM 139.503906 1733139597.7810
MEM 140.074219 1733139597.8816
MEM 140.699219 1733139597.9823
MEM 141.375000 1733139598.0829
MEM 142.093750 1733139598.1837
MEM 142.796875 1733139598.2843
MEM 143.500000 1733139598.3850
MEM 144.136719 1733139598.4861
MEM 144.812500 1733139598.5868
MEM 145.472656 1733139598.6875
MEM 146.015625 1733139598.7879
MEM 146.640625 1733139598.8881
MEM 157.074219 1733139598.9888
MEM 157.703125 1733139599.0894
MEM 158.328125 1733139599.1901
MEM 158.949219 1733139599.2907
MEM 159.574219 1733139599.3914
MEM 160.199219 1733139599.4921
MEM 160.855469 1733139599.5928
MEM 161.636719 1733139599.6934
MEM 162.167969 1733139599.7936
MEM 162.914062 1733139599.8942
MEM 163.671875 1733139599.9947
MEM 164.347656 1733139600.0950
MEM 164.582031 1733139600.1953
MEM 164.582031 1733139600.2957
MEM 164.582031 1733139600.3963
MEM 164.582031 1733139600.4969
MEM 164.582031 1733139600.5973
MEM 164.582031 1733139600.6978
MEM 164.582031 1733139600.7980
MEM 164.582031 1733139600.8982
MEM 99.980469 1733139600.9990
